make	model	tier	engine	body	approx_built
Toyota	Corolla	common	i4	sedan	50000000
Toyota	Camry	common	i4	sedan	20000000
Toyota	RAV4	common	i4	suv	15000000
Toyota	Hilux	common	i4	pickup	25000000
Toyota	Land Cruiser	common	v8	suv	11000000
Toyota	Land Cruiser Prado	common	i4	suv	3000000
Toyota	Prius	common	i4	hatchback	6000000
Toyota	Yaris	common	i4	hatchback	10000000
Toyota	Highlander	common	v6	suv	4000000
Toyota	Tacoma	common	v6	pickup	4000000
Toyota	Tundra	occasional	v8	pickup	1500000
Toyota	4Runner	common	v6	suv	3000000
Toyota	Sienna	occasional	v6	van	2000000
Toyota	Avalon	occasional	v6	sedan	1500000
Toyota	Corolla Cross	common	i4	suv	2500000
Toyota	C-HR	occasional	i4	suv	1500000
Toyota	Sequoia	occasional	v8	suv	500000
Toyota	Supra	niche	i6	coupe	150000
Toyota	86	occasional	flat4	coupe	250000
Toyota	Celica	common	i4	coupe	4000000
Toyota	MR2	occasional	i4	coupe	300000
Toyota	Crown	common	v6	sedan	4000000
Toyota	FJ Cruiser	occasional	v6	suv	250000
Toyota	Venza	occasional	i4	suv	500000
Toyota	bZ4X	niche	electric	suv	150000
Toyota	Mirai	niche	electric	sedan	25000
Toyota	Fortuner	common	i4	suv	2500000
Toyota	Innova	common	i4	van	2500000
Toyota	HiAce	common	i4	van	7000000
Toyota	Alphard	occasional	v6	van	1500000
Toyota	Vios	common	i4	sedan	3000000
Toyota	Matrix	occasional	i4	hatchback	800000
Toyota	GR Corolla	niche	i3	hatchback	30000
Lexus	RX	common	v6	suv	3500000
Lexus	ES	common	v6	sedan	3000000
Lexus	IS	occasional	v6	sedan	1500000
Lexus	NX	occasional	i4	suv	1500000
Lexus	GX	occasional	v8	suv	600000
Lexus	LX	occasional	v8	suv	500000
Lexus	LS	occasional	v8	sedan	1000000
Lexus	LC	niche	v8	coupe	30000
Lexus	RC	niche	v8	coupe	100000
Lexus	UX	occasional	i4	suv	500000
Lexus	SC	niche	v8	convertible	100000
Lexus	CT	occasional	i4	hatchback	300000
Lexus	GS	occasional	v6	sedan	500000
Lexus	TX	niche	v6	suv	100000
Lexus	RZ	niche	electric	suv	30000
Honda	Civic	common	i4	sedan	27000000
Honda	Accord	common	i4	sedan	20000000
Honda	CR-V	common	i4	suv	13000000
Honda	HR-V	common	i4	suv	5000000
Honda	Pilot	occasional	v6	suv	2000000
Honda	Odyssey	common	v6	van	3000000
Honda	Fit	common	i4	hatchback	7500000
Honda	Ridgeline	occasional	v6	pickup	800000
Honda	Passport	occasional	v6	suv	300000
Honda	Element	occasional	i4	suv	325000
Honda	Insight	occasional	i4	hatchback	300000
Honda	Prelude	occasional	i4	coupe	800000
Honda	S2000	niche	i4	convertible	110000
Honda	CR-Z	niche	i4	hatchback	70000
Honda	City	common	i4	sedan	5000000
Honda	Del Sol	niche	i4	convertible	150000
Honda	Prologue	niche	electric	suv	50000
Honda	e	niche	electric	hatchback	15000
Honda	Clarity	niche	i4	sedan	20000
Acura	MDX	occasional	v6	suv	1500000
Acura	RDX	occasional	i4	suv	1000000
Acura	TLX	occasional	i4	sedan	300000
Acura	TL	occasional	v6	sedan	1000000
Acura	TSX	occasional	i4	sedan	300000
Acura	RSX	occasional	i4	coupe	300000
Acura	ILX	occasional	i4	sedan	180000
Acura	Integra	occasional	i4	coupe	1000000
Acura	ZDX	niche	electric	suv	30000
Nissan	Altima	common	i4	sedan	7000000
Nissan	Sentra	common	i4	sedan	8000000
Nissan	Rogue	common	i4	suv	5000000
Nissan	X-Trail	common	i4	suv	7000000
