make	model	tier	engine	body	approx_built
Bugatti	La Voiture Noire	legendary	w16	supercar	1
Bugatti	Centodieci	legendary	w16	supercar	10
Bugatti	Divo	legendary	w16	supercar	40
Bugatti	Bolide	legendary	w16	supercar	40
Ferrari	250 GTO	legendary	v12	coupe	36
Lamborghini	Veneno	legendary	v12	supercar	14
Koenigsegg	CCXR Trevita	legendary	v8	supercar	3
Mercedes-Benz	CLK GTR	legendary	v12	supercar	26
Porsche	911 GT1 Strassenversion	legendary	flat6	supercar	25
McLaren	F1	legendary	v12	supercar	106
Bugatti	Chiron	exotic	w16	supercar	500
Bugatti	Veyron	exotic	w16	supercar	450
Bugatti	Tourbillon	exotic	v16	supercar	250
Bugatti	Mistral	exotic	w16	convertible	99
Bugatti	EB110	exotic	v12	supercar	139
Ferrari	LaFerrari	exotic	v12	supercar	710
Ferrari	Enzo	exotic	v12	supercar	400
Ferrari	F50	exotic	v12	supercar	349
Ferrari	F40	exotic	v8	supercar	1315
Ferrari	288 GTO	exotic	v8	supercar	272
Ferrari	Monza SP	exotic	v12	convertible	499
Ferrari	Daytona SP3	exotic	v12	supercar	599
Ferrari	F80	exotic	v6	supercar	799
Ferrari	599 GTO	exotic	v12	coupe	599
Ferrari	F12tdf	exotic	v12	coupe	799
Ferrari	812 Competizione	exotic	v12	coupe	999
Ferrari	250 GT California Spyder	exotic	v12	convertible	106
Ferrari	Sergio	exotic	v8	convertible	6
Porsche	918 Spyder	exotic	v8	supercar	918
Porsche	Carrera GT	exotic	v10	supercar	1270
Porsche	959	exotic	flat6	supercar	337
McLaren	P1	exotic	v8	supercar	375
McLaren	Senna	exotic	v8	supercar	500
McLaren	Speedtail	exotic	v8	supercar	106
McLaren	Elva	exotic	v8	convertible	149
McLaren	W1	exotic	v8	supercar	399
McLaren	Sabre	exotic	v8	supercar	15
Pagani	Zonda	exotic	v12	supercar	140
Pagani	Huayra	exotic	v12	supercar	300
Pagani	Utopia	exotic	v12	supercar	99
Koenigsegg	Agera	exotic	v8	supercar	85
Koenigsegg	Regera	exotic	v8	supercar	80
