make	model	tier	engine	body	approx_built
Ford	F-150	common	v8	pickup	40000000
Ford	Super Duty	common	v8	pickup	5000000
Ford	Ranger	common	i4	pickup	8000000
Ford	Mustang	common	v8	coupe	10000000
Ford	Explorer	common	v6	suv	8000000
Ford	Escape	common	i4	suv	5000000
Ford	Focus	common	i4	hatchback	16000000
Ford	Fiesta	common	i4	hatchback	18000000
Ford	Fusion	common	i4	sedan	5000000
Ford	Expedition	occasional	v8	suv	2000000
Ford	Edge	occasional	v6	suv	1800000
Ford	Bronco	occasional	v6	suv	1500000
Ford	Bronco Sport	occasional	i4	suv	500000
Ford	Maverick	occasional	i4	pickup	500000
Ford	Transit	common	v6	van	10000000
Ford	E-Series	common	v8	van	8000000
Ford	Taurus	common	v6	sedan	8000000
Ford	Crown Victoria	occasional	v8	sedan	2000000
Ford	Flex	occasional	v6	suv	400000
Ford	Excursion	niche	v8	suv	118000
Ford	Puma	occasional	i3	suv	800000
Ford	Mustang Mach-E	occasional	electric	suv	300000
Ford	F-150 Lightning	niche	electric	pickup	100000
Ford	EcoSport	occasional	i3	suv	1500000
Ford	Ka	common	i4	hatchback	3000000
Ford	Everest	occasional	i4	suv	500000
Chevrolet	Silverado	common	v8	pickup	15000000
Chevrolet	Tahoe	common	v8	suv	3000000
Chevrolet	Suburban	common	v8	suv	10000000
Chevrolet	Equinox	common	i4	suv	4000000
Chevrolet	Malibu	common	i4	sedan	10000000
Chevrolet	Camaro	common	v8	coupe	5500000
Chevrolet	Corvette	occasional	v8	coupe	1900000
Chevrolet	Cruze	common	i4	sedan	5000000
Chevrolet	Impala	common	v6	sedan	16000000
Chevrolet	Traverse	occasional	v6	suv	2000000
Chevrolet	Trax	occasional	i4	suv	1500000
Chevrolet	Trailblazer	occasional	i3	suv	1000000
Chevrolet	Colorado	occasional	v6	pickup	1500000
Chevrolet	Spark	common	i3	hatchback	3000000
Chevrolet	Bolt	occasional	electric	hatchback	200000
Chevrolet	Blazer	occasional	v6	suv	1500000
Chevrolet	Express	common	v8	van	3000000
Chevrolet	Sonic	occasional	i4	hatchback	1000000
Chevrolet	Aveo	common	i4	hatchback	3000000
Chevrolet	Cobalt	occasional	i4	sedan	1500000
Chevrolet	Avalanche	occasional	v8	pickup	600000
Chevrolet	HHR	occasional	i4	wagon	500000
Chevrolet	SSR	niche	v8	pickup	24000
Chevrolet	Volt	niche	i4	hatchback	150000
GMC	Sierra	common	v8	pickup	7000000
GMC	Yukon	occasional	v8	suv	2000000
GMC	Acadia	occasional	v6	suv	1500000
GMC	Terrain	occasional	i4	suv	1500000
GMC	Canyon	occasional	i4	pickup	800000
